# word | phonetic | pos. | meaning | example | topic
potlatch | /'pɒtlætʃ/ | n. | 炫财冬宴 |  | general
manometric | /.mænә'metrik/ |  | a. 压力计的, 用压力计测量的；测压计的, 测压的 |  | general
gearshift | /'giәʃift/ | n. | 变速排档 |  | general
amylase | /'æmileis/ | n. | 淀粉酶；淀粉酶 |  | culture
intensional | /in'tenʃənəl/ |  | a. 内涵的；紧张的 |  | general
harebrained | /'hєәbreind/ |  | a. 轻率的, 欠考虑的, 粗心的 |  | general
cardia | /'kɑ:diә/ | n. | 贲门；贲门, 心窝, 心口(旧名) |  | culture
sauted | /'səutei/ | v. | 炒；嫩煎 |  | general
parvis | /'pɑ:vis/ | n. | 前院, 天井, 柱廊 |  | general
adenoidectomy | /,ædinɔi'dektәmi/ |  | 增殖腺切除术 |  | general
actinomycin | /,æktinәu'maisin/ |  | 放线菌素；放线菌素 |  | general
lariat | /'læriәt/ | n. | 套索；vt. 用套索捉 |  | general
salesclerk | /'seilzklә:k/ | n. | 店员；售货员, 推销员 |  | general
synecdoche | /si'nekdәki/ | n. | 提喻法 |  | general
anime | /'ænimei/ |  | 硬树脂 |  | general
armorer | /'ɑ:mәrә/ | n. | 兵器制造者, 军械士 |  | technology
victimizer |  |  | 施害者 |  | general
multistage | /'mʌltisteidʒ/ |  | a. 多级的, 多阶段的；多级 |  | general
tantric | /'tæntrɪk/ |  | a. 与佛教（或印度教）中某一动作相关的 |  | general
alumna | /ә'lʌmnә/ | n. | 女毕业生, 女校友 |  | education
appropriator |  | n. | 拨给者, 盗用者；盗用者, 侵吞者, 挪用者 |  | general
hemiplegic |  |  | 偏瘫的 |  | general
jacksonian | /dʒæk'sәuniәn/ |  | a. 美国第七任总统杰克逊的；杰克逊思想的 |  | general
coital | /'kәuitәl/ |  | a. 性交的；性交的, 交媾的 |  | general
plowshare | /'plauʃєә/ | n. | (犁)铧, 铧头 |  | general
baklava | /'bæklәvә/ | n. | (土尔其,希腊的)果仁蜜饼 |  | general
beekeeping | /'bi:,ki:piŋ/ | n. | 养蜂 |  | economy
googol | /'^u:^ɔl/ | n. | 巨大的数字 |  | technology
cardiomyopathy | /,kɑ:diәjmai'ɔpәθi/ | n. | 心肌病 |  | culture
proteomics | /p'rəʊti:əʊmɪks/ |  | 蛋白质组学 |  | general
dimity | /'dimiti/ | n. | 麻纱 |  | general
coneflower | /'kәunflauә/ | n. | 金光菊属植物, 金光菊 |  | general
stickball | /ˈstɪkbɔ:l/ | n. | <美>棍子球（孩子们在街巷内玩的一种类似棒球 |  | general
amyloid | /'æmilɒid/ |  | a. 淀粉的, 含淀粉的；n. 淀粉质食物, 淀粉状蛋白 |  | general
paperboard | /'peipbɒ:d/ | n. | 纸板 |  | general
speakership | /'spi:kәʃip/ | n. | 议长的职位；议长的职务, 议长的任期 |  | work
nomic | /'nәumik/ |  | 惯用的, 普通的 |  | general
relinquishment |  |  | 放弃, 放弃权利, 放弃继承权 |  | society
anthocyanin | /,ænθә'saiәnin/ |  | 花色素苷；花色甙, 花青甙 |  | general
tracheostomy | /.treiki'ɒtәmi/ | n. | 气管切开术；气管造口术 |  | general
panfish |  | n. | 煎食的小鱼 |  | economy
cottontail | /'kɔtәnteil/ | n. | 美洲产白尾棕色免 |  | health
assemblywoman | /ә'sembli,wjmәn/ | n. | 女议员 |  | general
preachy | /'pri:tʃi/ |  | a. 爱讲道的, 爱教训人的 |  | general
hogwash | /'hɒgwɒʃ/ | n. | 泔脚, 废话, 空洞的作品 |  | general
jello | /'dʒelәu/ | n. | 果冻 |  | economy
venturous | /'ventʃәrәs/ |  | a. 好冒险的, 大胆的, 不顾一切的 |  | general
unalienable | /,ʌn'eiljәnәbl/ |  | 不可转让的, 不可剥夺的, 不可出卖的 |  | general
wicking | /'wikiŋ/ | n. | 灯芯材料；线束 |  | general
defroster | /di:'frɒstә/ | n. | (冰箱)除霜器, 防结冰装置；除雾器 |  | general
wetback | /'wetbæk/ | n. | <美口>“湿背人”(尤指非法进入美国的墨西哥 |  | general
obliviousness | /ə'bliviəsnis/ | n. | 健忘；不注意 |  | general
vasopressin | /,væsәu'presin, ,veiz-/ | n. | 后叶加压素, 加压素；后叶加压素 |  | economy
believability | /bi.li:vә'bilәti/ | n. | 可信度 |  | general
bronc | /brɔŋk/ | n. | 北美西部产的野马 |  | general
laryngoscopy | /,læriŋ'^ɔskәpi/ |  | 喉镜检查 |  | economy
subarctic | /.sʌb'ɑ:ktik/ |  | a. 靠近北极的, 亚北极的 |  | general
willfulness |  | n. | 任性；故意 |  | general
malamute | /'mælәmju:t/ | n. | 阿拉斯加狗 |  | general
somewheres | /'sʌmweə/ | adv. | 在某处；到某处 |  | general
lacuna | /lә'kju:nә/ | n. | 空白, 空隙, 阙文；腔隙, 陷窝 |  | culture
exploitive | /iks'plɔitiv/ |  | a. 开发资源的, 剥削的 |  | general
barkeep | /'bɑ:ki:p/ | n. | <美>酒吧间老板, 酒吧间招待 |  | economy
presumptively |  |  | 据推测 |  | general
diarrheal |  |  | a. 腹泻；腹泻的 |  | general
volitional | /vәu'liʃәnl/ |  | a. 意志的, 凭意志的 |  | general
scrapie | /'skræpi/ |  | 瘙痒病 |  | health
gooseneck | /'gu:snek/ | n. | 曲如鹅颈之物, 鹅颈管 |  | general
soapstone | /'sәupstәun/ | n. | 皂石 |  | culture
pumper | /'pʌmpә/ | n. | 消防车, 使用唧筒者, 唧筒式抽水机 |  | technology
malathion | /.mælә'θaiɒn/ | n. | 马拉硫磷杀虫剂；马拉硫磷 |  | general
caiman | /'keimәn/ | n. | 凯门鳄（等于cayman）；（美洲热带所产之）鳄鱼 |  | general
jihadi |  |  | 圣战分子；圣战的 |  | general
achy | /'eiki/ |  | a. 疼痛的 |  | general
gunplay | /'ɡʌnplei/ | n. | （美）枪战；射击技巧 |  | general
gingersnap | /'dʒindʒәsnæp/ | n. | 姜味小甜饼 |  | general
brimmer | /'brimә/ | n. | 满溢的杯, 满杯 |  | general
lidocaine | /'lidәjkein/ |  | 利多卡因；利多卡因, 塞罗卡因 |  | economy
aurae | /'ɒ:ri:/ |  | pl. 气氛, 气味 |  | general
luminance | /'lju:minәns/ | n. | 亮度；亮度 |  | general
sturdiness | /'stә:dinis/ | n. | 强健, 坚固, 强壮 |  | general
ain | /ein/ |  | a. （苏格兰）自己的 |  | general
immeasurable | /i'meʒәrәbl/ |  | a. 不可测量的, 无限的, 广大无边的 |  | general
homepage | /'hәumpeidʒ/ | n. | 主页 |  | general
extroversion | /.ekstrә'vә:ʃәn/ | n. | 外翻, 外倾；外翻, 外倾 |  | general
panoply | /'pænәpli/ | n. | 全套披甲, 全幅盔甲, 华服美饰 |  | general
operationally |  |  | 运作上；操作上 |  | general
slavishly | /'sleɪvɪʃlɪ/ | adv. | 奴隶般地, 盲目地 |  | general
